Number of Records,Address,City,County Name,Effectiveness Of Care National Comparison,Effectiveness Of Care National Comparison Footnote,Efficient Use Of Medical Imaging National Comparison,Efficient Use Of Medical Imaging National Comparison Footnote,Emergency Services,Hospital Name,Hospital Overall Rating,Hospital Overall Rating Footnote,Hospital Ownership,Hospital Type,Location,Meets Criteria For Meaningful Use Of Ehrs,Mortality National Comparison,Mortality National Comparison Footnote,Patient Experience National Comparison,Patient Experience National Comparison Footnote,Phone Number,Provider Id,Readmission National Comparison,Readmission National Comparison Footnote,Safety Of Care National Comparison,Safety Of Care National Comparison Footnote,State,Timeliness Of Care National Comparison,Timeliness Of Care National Comparison Footnote,Zip Code
1,707 EAST MAIN STREET,MIDDLETOWN,ORANGE,Same as the national average,,Above the national average,,True,ORANGE REGIONAL MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,"707 EAST MAIN STREET MIDDLETOWN, NY 10940 (41.439962, -74.369415)",True,Above the national average,,Same as the national average,,(845) 343-2424,330126,Below the national average,,Above the national average,,NY,Below the national average,,10940
1,2157 MAIN STREET,BUFFALO,ERIE,Same as the national average,,Same as the national average,,True,SISTERS OF CHARITY HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"2157 MAIN STREET BUFFALO, NY 14214 (42.92917, -78.849916)",True,Same as the national average,,Same as the national average,,(716) 862-1000,330078,Below the national average,,Above the national average,,NY,Below the national average,,14214
1,1425 PORTLAND AVENUE,ROCHESTER,MONROE,Same as the national average,,Same as the national average,,True,ROCHESTER GENERAL HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"1425 PORTLAND AVENUE ROCHESTER, NY 14621 (43.192542, -77.584424)",True,Above the national average,,Below the national average,,(585) 922-4000,330125,Below the national average,,Below the national average,,NY,Below the national average,,14621
1,760 BROADWAY,BROOKLYN,KINGS,Same as the national average,,Not Available,5,True,WOODHULL MEDICAL & MENTAL HEALTH CENTER,1,,Government - Local,Acute Care Hospitals,"760 BROADWAY BROOKLYN, NY 11206 (40.700512, -73.941557)",True,Same as the national average,,Below the national average,,(718) 963-8100,330396,Below the national average,,Same as the national average,,NY,Below the national average,,11206
1,41 EAST POST R0AD,WHITE PLAINS,WESTCHESTER,Same as the national average,,Same as the national average,,True,WHITE PLAINS HOSPITAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,"41 EAST POST R0AD WHITE PLAINS, NY 10601",True,Same as the national average,,Above the national average,,(914) 681-0600,330304,Below the national average,,Below the national average,,NY,Same as the national average,,10601
1,134 HOMER AVENUE,CORTLAND,CORTLAND,Same as the national average,,Same as the national average,,True,"CORTLAND REGIONAL MEDICAL CENTER, INC",3,,Voluntary non-profit - Private,Acute Care Hospitals,"134 HOMER AVENUE CORTLAND, NY 13045 (42.608997, -76.186117)",True,Above the national average,,Below the national average,,(607) 756-3501,330175,Below the national average,,Below the national average,,NY,Below the national average,,13045
1,1000 SOUTH AVENUE,ROCHESTER,MONROE,Same as the national average,,Same as the national average,,True,HIGHLAND HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"1000 SOUTH AVENUE ROCHESTER, NY 14620 (43.135955, -77.607556)",True,Same as the national average,,Same as the national average,,(585) 341-6736,330164,Same as the national average,,Below the national average,,NY,Below the national average,,14620
1,101 DATES DRIVE,ITHACA,TOMPKINS,Same as the national average,,Above the national average,,True,CAYUGA MEDICAL CENTER AT ITHACA,2,,Voluntary non-profit - Private,Acute Care Hospitals,"101 DATES DRIVE ITHACA, NY 14850 (42.467096, -76.538808)",True,Below the national average,,Same as the national average,,(607) 274-4401,330307,Same as the national average,,Above the national average,,NY,Below the national average,,14850
1,2233 STATE ROUTE 86,SARANAC LAKE,FRANKLIN,Same as the national average,,Same as the national average,,True,ADIRONDACK MEDICAL CENTER - PHYSICIAN,4,,Voluntary non-profit - Other,Acute Care Hospitals,"2233 STATE ROUTE 86 SARANAC LAKE, NY 12983 (44.344548, -74.144597)",True,Same as the national average,,Above the national average,,(518) 891-4141,330079,Same as the national average,,Above the national average,,NY,Same as the national average,,12983
1,100 PORT WASHINGTON BOULEVARD,ROSLYN,NASSAU,Same as the national average,,Above the national average,,True,"ST FRANCIS HOSPITAL, ROSLYN",4,,Voluntary non-profit - Church,Acute Care Hospitals,"100 PORT WASHINGTON BOULEVARD ROSLYN, NY 11576 (40.804505, -73.672669)",,Above the national average,,Above the national average,,(516) 562-6000,330182,Same as the national average,,Below the national average,,NY,Below the national average,,11576
1,234 EAST 149TH STREET,BRONX,BRONX,Below the national average,,Not Available,5,True,LINCOLN MEDICAL & MENTAL HEALTH CENTER,1,,Government - Local,Acute Care Hospitals,"234 EAST 149TH STREET BRONX, NY 10451 (40.817681, -73.924072)",True,Same as the national average,,Below the national average,,(718) 579-5000,330080,Below the national average,,Below the national average,,NY,Below the national average,,10451
1,50 LEROY STREET,POTSDAM,ST. LAWRENCE,Below the national average,,Same as the national average,,True,CANTON-POTSDAM HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"50 LEROY STREET POTSDAM, NY 13676 (44.676085, -74.981451)",True,Above the national average,,Same as the national average,,(315) 265-3300,330197,Below the national average,,Above the national average,,NY,Below the national average,,13676
1,600 ROE AVENUE,ELMIRA,CHEMUNG,Same as the national average,,Same as the national average,,True,ARNOT OGDEN MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"600 ROE AVENUE ELMIRA, NY 14905 (42.099256, -76.826668)",True,Same as the national average,,Below the national average,,(607) 737-4100,330090,Below the national average,,Below the national average,,NY,Below the national average,,14905
1,160 EAST MAIN STREET,PORT JERVIS,ORANGE,Same as the national average,,Same as the national average,,True,BON SECOURS COMMUNITY HOSPITAL,4,,Voluntary non-profit - Church,Acute Care Hospitals,"160 EAST MAIN STREET PORT JERVIS, NY 12771 (41.367766, -74.682593)",True,Same as the national average,,Same as the national average,,(845) 856-5351,330135,Above the national average,,Above the national average,,NY,Above the national average,,12771
1,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,BRONX,Below the national average,,Not Available,5,True,NORTH CENTRAL BRONX HOSPITAL,1,,Government - Local,Acute Care Hospitals,"3424 KOSSUTH AVENUE & 210TH STREET BRONX, NY 10467",True,Not Available,5,Below the national average,,(212) 519-5000,330385,Below the national average,,Same as the national average,,NY,Below the national average,,10467
1,16 GUION PLACE,NEW ROCHELLE,WESTCHESTER,Same as the national average,,Same as the national average,,True,MONTEFIORE NEW ROCHELLE HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"16 GUION PLACE NEW ROCHELLE, NY 10802 (40.912968, -73.786997)",,Same as the national average,,Below the national average,,(914) 632-5000,330184,Below the national average,,Same as the national average,,NY,Below the national average,,10802
1,10 HEALTHY WAY,ELLENVILLE,ULSTER,Same as the national average,,Not Available,5,True,ELLENVILLE REGIONAL HOSPITAL,3,,Voluntary non-profit - Private,Critical Access Hospitals,"10 HEALTHY WAY ELLENVILLE, NY 12428 (41.732351, -74.380624)",True,Not Available,5,Not Available,16,(845) 647-6400,331310,Same as the national average,,Not Available,16,NY,Above the national average,,12428
1,127 NORTH STREET,BATAVIA,GENESEE,Same as the national average,,Below the national average,,True,UNITED MEMORIAL MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"127 NORTH STREET BATAVIA, NY 14020 (43.003997, -78.177592)",True,Same as the national average,,Below the national average,,(585) 343-6030,330073,Same as the national average,,Above the national average,,NY,Above the national average,,14020
1,830 WASHINGTON STREET,WATERTOWN,JEFFERSON,Same as the national average,,Below the national average,,True,SAMARITAN MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,"830 WASHINGTON STREET WATERTOWN, NY 13601 (43.96489, -75.912761)",True,Same as the national average,,Below the national average,,(315) 785-4121,330157,Above the national average,,Above the national average,,NY,Below the national average,,13601
1,400 EAST MAIN STREET,MOUNT KISCO,WESTCHESTER,Same as the national average,,Same as the national average,,True,NORTHERN WESTCHESTER HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"400 EAST MAIN STREET MOUNT KISCO, NY 10549 (41.196692, -73.724449)",True,Above the national average,,Above the national average,,(914) 666-1200,330162,Below the national average,,Below the national average,,NY,Same as the national average,,10549
1,506 LENOX AVENUE,NEW YORK,NEW YORK,Same as the national average,,Not Available,5,True,HARLEM HOSPITAL CENTER,1,,Government - Local,Acute Care Hospitals,"506 LENOX AVENUE NEW YORK, NY 10037 (40.814482, -73.940495)",True,Same as the national average,,Below the national average,,(212) 939-1000,330240,Below the national average,,Same as the national average,,NY,Below the national average,,10037
1,460 ANDES ROAD,DELHI,DELAWARE,Same as the national average,,Not Available,5,True,O'CONNOR HOSPITAL,4,,Voluntary non-profit - Private,Critical Access Hospitals,"460 ANDES ROAD DELHI, NY 13753 (42.26687, -74.91685)",,Same as the national average,,Not Available,16,(607) 746-0300,331305,Same as the national average,,Not Available,16,NY,Above the national average,,13753
1,75 PARK STREET,ELIZABETHTOWN,ESSEX,Same as the national average,,Same as the national average,,True,ELIZABETHTOWN COMMUNITY HOSPITAL,2,,Voluntary non-profit - Private,Critical Access Hospitals,"75 PARK STREET ELIZABETHTOWN, NY 12932 (44.21543, -73.596624)",True,Same as the national average,,Not Available,16,(518) 873-6377,331302,Below the national average,,Not Available,16,NY,Same as the national average,,12932
1,550 FIRST AVENUE,NEW YORK,NEW YORK,Above the national average,,Above the national average,,True,NYU LANGONE HOSPITALS,4,,Voluntary non-profit - Private,Acute Care Hospitals,"550 FIRST AVENUE NEW YORK, NY 10016 (40.74226, -73.974661)",True,Above the national average,,Below the national average,,(212) 263-7300,330214,Below the national average,,Below the national average,,NY,Below the national average,,10016
1,701 NORTH BROADWAY,SLEEPY HOLLOW,WESTCHESTER,Same as the national average,,Same as the national average,,True,PHELPS MEMORIAL HOSPITAL ASSN,4,,Voluntary non-profit - Other,Acute Care Hospitals,"701 NORTH BROADWAY SLEEPY HOLLOW, NY 10591 (41.107555, -73.859639)",True,Same as the national average,,Same as the national average,,(914) 366-3000,330261,Same as the national average,,Above the national average,,NY,Below the national average,,10591
1,462 GRIDER STREET,BUFFALO,ERIE,Below the national average,,Same as the national average,,True,ERIE COUNTY MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"462 GRIDER STREET BUFFALO, NY 14215 (42.927236, -78.829151)",True,Same as the national average,,Below the national average,,(716) 898-3936,330219,Same as the national average,,Above the national average,,NY,Below the national average,,14215
1,535 EAST 70TH STREET,NEW YORK,NEW YORK,Same as the national average,,Not Available,5,True,HOSPITAL FOR SPECIAL SURGERY,5,,Voluntary non-profit - Private,Acute Care Hospitals,"535 EAST 70TH STREET NEW YORK, NY 10021 (40.764866, -73.953128)",True,Not Available,5,Above the national average,,(212) 606-1000,330270,Not Available,5,Above the national average,,NY,Not Available,16,10021
1,121 DEKALB AVENUE,BROOKLYN,KINGS,Same as the national average,,Same as the national average,,True,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,1,,Voluntary non-profit - Private,Acute Care Hospitals,"121 DEKALB AVENUE BROOKLYN, NY 11201 (40.689785, -73.9774)",True,Same as the national average,,Below the national average,,(718) 250-8000,330056,Below the national average,,Below the national average,,NY,Below the national average,,11201
1,50 ROUTE 25A,SMITHTOWN,SUFFOLK,Same as the national average,,Above the national average,,True,ST CATHERINE OF SIENA HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"50 ROUTE 25A SMITHTOWN, NY 11787 (40.867592, -73.220142)",True,Same as the national average,,Below the national average,,(631) 862-3000,330401,Below the national average,,Below the national average,,NY,Below the national average,,11787
1,1901 FIRST AVENUE,NEW YORK,NEW YORK,Same as the national average,,Not Available,16,True,METROPOLITAN HOSPITAL CENTER,2,,Government - Local,Acute Care Hospitals,"1901 FIRST AVENUE NEW YORK, NY 10029 (40.78472, -73.943636)",True,Same as the national average,,Below the national average,,(212) 423-6262,330199,Below the national average,,Below the national average,,NY,Below the national average,,10029
1,1656 CHAMPLIN AVENUE,UTICA,ONEIDA,Same as the national average,,Not Available,5,True,FAXTON-ST LUKE'S HEALTHCARE,2,,Voluntary non-profit - Private,Acute Care Hospitals,"1656 CHAMPLIN AVENUE UTICA, NY 13503",,Below the national average,,Below the national average,,(315) 798-6000,330044,Same as the national average,,Same as the national average,,NY,Below the national average,,13503
1,7571 STATE ROUTE 54,BATH,STEUBEN,Same as the national average,,Same as the national average,,False,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",3,,Voluntary non-profit - Other,Acute Care Hospitals,"7571 STATE ROUTE 54 BATH, NY 14810 (42.37297, -77.278553)",True,Same as the national average,,Not Available,16,(607) 776-8500,330144,Same as the national average,,Not Available,5,NY,Same as the national average,,14810
1,506 SIXTH STREET,BROOKLYN,KINGS,Same as the national average,,Same as the national average,,True,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"506 SIXTH STREET BROOKLYN, NY 11215 (40.668263, -73.979141)",True,Above the national average,,Below the national average,,(718) 780-3000,330236,Below the national average,,Above the national average,,NY,Below the national average,,11215
1,555 ST JOSEPH'S BLVD,ELMIRA,CHEMUNG,Same as the national average,,Not Available,5,True,ST JOSEPH'S HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"555 ST JOSEPH'S BLVD ELMIRA, NY 14901 (42.091214, -76.797472)",True,Not Available,5,Not Available,16,(607) 733-6541,330108,Above the national average,,Not Available,5,NY,Below the national average,,14901
1,1 HOSPITAL DRIVE,MASSENA,ST. LAWRENCE,Same as the national average,,Same as the national average,,True,MASSENA MEMORIAL HOSPITAL,2,,Government - Local,Acute Care Hospitals,"1 HOSPITAL DRIVE MASSENA, NY 13662 (44.936344, -74.907828)",True,Same as the national average,,Below the national average,,(315) 764-1711,330223,Below the national average,,Not Available,5,NY,Same as the national average,,13662
1,17 LANSING STREET,AUBURN,CAYUGA,Same as the national average,,Below the national average,,True,AUBURN  COMMUNITY  HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"17 LANSING STREET AUBURN, NY 13021 (42.940761, -76.564607)",True,Same as the national average,,Below the national average,,(315) 255-7011,330235,Below the national average,,Above the national average,,NY,Below the national average,,13021
1,71 PROSPECT AVENUE,HUDSON,COLUMBIA,Same as the national average,,Same as the national average,,True,COLUMBIA MEMORIAL HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"71 PROSPECT AVENUE HUDSON, NY 12534 (42.246254, -73.776128)",True,Same as the national average,,Below the national average,,(518) 828-7601,330094,Below the national average,,Below the national average,,NY,Below the national average,,12534
1,525 EAST 68TH STREET,NEW YORK,NEW YORK,Same as the national average,,Below the national average,,True,NEW YORK-PRESBYTERIAN HOSPITAL-NEW YORK WEILL CORN,3,,Voluntary non-profit - Private,Acute Care Hospitals,"525 EAST 68TH STREET NEW YORK, NY 10065 (40.76415, -73.954335)",True,Above the national average,,Same as the national average,,(212) 746-5454,330101,Below the national average,,Below the national average,,NY,Below the national average,,10065
1,374 STOCKHOLM STREET,BROOKLYN,KINGS,Same as the national average,,Not Available,5,True,WYCKOFF HEIGHTS MEDICAL CENTER,1,,Voluntary non-profit - Private,Acute Care Hospitals,"374 STOCKHOLM STREET BROOKLYN, NY 11237 (40.704699, -73.917648)",True,Same as the national average,,Below the national average,,(718) 963-7272,330221,Below the national average,,Below the national average,,NY,Below the national average,,11237
1,133 PARK STREET,MALONE,FRANKLIN,Same as the national average,,Same as the national average,,True,ALICE HYDE MEDICAL CENTER,1,,Voluntary non-profit - Other,Acute Care Hospitals,"133 PARK STREET MALONE, NY 12953 (44.856658, -74.29193)",True,Same as the national average,,Below the national average,,(518) 483-3000,330084,Same as the national average,,Below the national average,,NY,Above the national average,,12953
1,100 EAST 77TH STREET,NEW YORK,NEW YORK,Same as the national average,,Same as the national average,,True,LENOX HILL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"100 EAST 77TH STREET NEW YORK, NY 10021 (40.773964, -73.960611)",True,Above the national average,,Below the national average,,(212) 439-2345,330119,Above the national average,,Below the national average,,NY,Same as the national average,,10021
1,327 BEACH 19TH STREET,FAR ROCKAWAY,QUEENS,Same as the national average,,Not Available,5,True,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,1,,Voluntary non-profit - Church,Acute Care Hospitals,"327 BEACH 19TH STREET FAR ROCKAWAY, NY 11691 (40.598675, -73.75268)",,Below the national average,,Below the national average,,(718) 869-7000,330395,Below the national average,,Below the national average,,NY,Below the national average,,11691
1,201 MANOR PLACE,GREENPORT,SUFFOLK,Same as the national average,,Below the national average,,True,EASTERN LONG ISLAND HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"201 MANOR PLACE GREENPORT, NY 11944 (41.110951, -72.361459)",,Same as the national average,,Same as the national average,,(631) 477-1000,330088,Above the national average,,Not Available,5,NY,Same as the national average,,11944
1,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,ALBANY,Below the national average,,Same as the national average,,True,ALBANY MEDICAL CENTER HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"43 NEW SCOTLAND AVENUE, MAIL CODE 34 ALBANY, NY 12208 (42.653254, -73.77386)",True,Same as the national average,,Below the national average,,(518) 262-2400,330013,Below the national average,,Same as the national average,,NY,Below the national average,,12208
1,301 EAST MAIN STREET,BAY SHORE,SUFFOLK,Same as the national average,,Above the national average,,True,SOUTHSIDE HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"301 EAST MAIN STREET BAY SHORE, NY 11706 (40.724858, -73.240889)",True,Same as the national average,,Below the national average,,(631) 968-3000,330043,Below the national average,,Same as the national average,,NY,Below the national average,,11706
1,670 STONELEIGH AVENUE,CARMEL,PUTNAM,Same as the national average,,Same as the national average,,True,PUTNAM HOSPITAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"670 STONELEIGH AVENUE CARMEL, NY 10512 (41.384844, -73.664475)",True,Same as the national average,,Above the national average,,(914) 279-5711,330273,Below the national average,,Below the national average,,NY,Above the national average,,10512
1,270 - 05 76TH AVENUE,NEW HYDE PARK,NASSAU,Below the national average,,Above the national average,,True,LONG ISLAND JEWISH MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"270 - 05 76TH AVENUE NEW HYDE PARK, NY 11040",True,Above the national average,,Below the national average,,(718) 470-7000,330195,Below the national average,,Below the national average,,NY,Below the national average,,11040
1,10-42 MITCHELL AVENUE,BINGHAMTON,BROOME,Same as the national average,,Same as the national average,,True,"UNITED HEALTH SERVICES HOSPITALS, INC",1,,Voluntary non-profit - Private,Acute Care Hospitals,"10-42 MITCHELL AVENUE BINGHAMTON, NY 13903 (42.088097, -75.914166)",True,Below the national average,,Below the national average,,(607) 763-6000,330394,Above the national average,,Below the national average,,NY,Below the national average,,13903
1,270 PARK AVENUE,HUNTINGTON,SUFFOLK,Same as the national average,,Above the national average,,True,HUNTINGTON HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"270 PARK AVENUE HUNTINGTON, NY 11743 (40.879201, -73.417488)",True,Above the national average,,Same as the national average,,(631) 351-2000,330045,Below the national average,,Below the national average,,NY,Below the national average,,11743
1,45 READE PLACE,POUGHKEEPSIE,DUTCHESS,Same as the national average,,Below the national average,,True,VASSAR BROTHERS MEDICAL CENTER,1,,Voluntary non-profit - Private,Acute Care Hospitals,"45 READE PLACE POUGHKEEPSIE, NY 12601 (41.694567, -73.935723)",True,Same as the national average,,Below the national average,,(845) 454-8500,330023,Below the national average,,Below the national average,,NY,Below the national average,,12601
1,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NASSAU,Same as the national average,,Above the national average,,True,ST JOSEPH HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"4295 HEMPSTEAD TURNPIKE BETHPAGE, NY 11714 (40.725795, -73.478755)",True,Same as the national average,,Below the national average,,(516) 579-6000,330332,Below the national average,,Below the national average,,NY,Below the national average,,11714
1,321 GENESEE STREET,ONEIDA,MADISON,Same as the national average,,Same as the national average,,True,ONEIDA HEALTH HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,"321 GENESEE STREET ONEIDA, NY 13421 (43.078755, -75.654264)",True,Below the national average,,Above the national average,,(315) 363-6000,330115,Above the national average,,Same as the national average,,NY,Same as the national average,,13421
1,111 DRIVING PARK AVENUE,NEWARK,WAYNE,Same as the national average,,Same as the national average,,True,NEWARK-WAYNE COMMUNITY HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"111 DRIVING PARK AVENUE NEWARK, NY 14513 (43.059959, -77.100736)",True,Same as the national average,,Same as the national average,,(315) 332-2022,330030,Below the national average,,Below the national average,,NY,Same as the national average,,14513
1,462 FIRST AVENUE,NEW YORK,NEW YORK,Same as the national average,,Not Available,5,True,BELLEVUE HOSPITAL CENTER,1,,Government - Local,Acute Care Hospitals,"462 FIRST AVENUE NEW YORK, NY 10016 (40.740079, -73.97625)",True,Same as the national average,,Below the national average,,(212) 562-4141,330204,Below the national average,,Below the national average,,NY,Below the national average,,10016
1,418 NORTH MAIN STREET,PENN YAN,YATES,Same as the national average,,Not Available,5,True,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,3,,Voluntary non-profit - Other,Critical Access Hospitals,"418 NORTH MAIN STREET PENN YAN, NY 14527 (42.670468, -77.059591)",True,Same as the national average,,Same as the national average,,(315) 787-4175,331314,Same as the national average,,Not Available,16,NY,Above the national average,,14527
1,1 TITUS PLACE,WALTON,DELAWARE,Same as the national average,,Not Available,5,True,"DELAWARE VALLEY HOSPITAL, INC",4,,Voluntary non-profit - Private,Critical Access Hospitals,"1 TITUS PLACE WALTON, NY 13856 (42.165522, -75.128087)",,Same as the national average,,Not Available,16,(607) 865-2188,331312,Same as the national average,,Not Available,16,NY,Above the national average,,13856
1,100 WOODS RD,VALHALLA,WESTCHESTER,Same as the national average,,Below the national average,,True,WESTCHESTER MEDICAL CENTER,1,,Government - Hospital District or Authority,Acute Care Hospitals,"100 WOODS RD VALHALLA, NY 10595 (41.08768, -73.803897)",True,Same as the national average,,Below the national average,,(914) 493-7000,330234,Below the national average,,Below the national average,,NY,Below the national average,,10595
1,529 CENTRAL AVENUE,DUNKIRK,CHAUTAUQUA,Same as the national average,,Not Available,5,True,BROOKS MEMORIAL HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"529 CENTRAL AVENUE DUNKIRK, NY 14048 (42.480106, -79.333617)",,Same as the national average,,Below the national average,,(716) 366-1111,330229,Same as the national average,,Same as the national average,,NY,Same as the national average,,14048
1,75 NORTH COUNTRY ROAD,PORT JEFFERSON,SUFFOLK,Same as the national average,,Above the national average,,True,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,3,,Voluntary non-profit - Private,Acute Care Hospitals,"75 NORTH COUNTRY ROAD PORT JEFFERSON, NY 11777 (40.938249, -73.052951)",True,Above the national average,,Above the national average,,(631) 473-1320,330185,Below the national average,,Same as the national average,,NY,Below the national average,,11777
1,2209 GENESEE STREET,UTICA,ONEIDA,Below the national average,,Same as the national average,,True,ST ELIZABETH MEDICAL CENTER,1,,Voluntary non-profit - Private,Acute Care Hospitals,"2209 GENESEE STREET UTICA, NY 13501 (43.083646, -75.267158)",,Same as the national average,,Below the national average,,(315) 798-8100,330245,Above the national average,,Below the national average,,NY,Below the national average,,13501
1,396 BROADWAY,KINGSTON,ULSTER,Same as the national average,,Above the national average,,True,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,1,,Voluntary non-profit - Private,Acute Care Hospitals,"396 BROADWAY KINGSTON, NY 12401 (41.92635, -73.995402)",True,Same as the national average,,Below the national average,,(914) 331-3131,330004,Below the national average,,Below the national average,,NY,Below the national average,,12401
1,68 HARRIS BUSHVILLE ROAD,HARRIS,SULLIVAN,Same as the national average,,Same as the national average,,True,CATSKILL REGIONAL MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"68 HARRIS BUSHVILLE ROAD HARRIS, NY 12742 (41.70642, -74.736752)",True,Same as the national average,,Below the national average,,(845) 794-3300,330386,Below the national average,,Below the national average,,NY,Below the national average,,12742
1,2215 BURDETT AVENUE,TROY,RENSSELAER,Same as the national average,,Same as the national average,,True,SAMARITAN HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"2215 BURDETT AVENUE TROY, NY 12180 (42.733395, -73.671434)",True,Same as the national average,,Below the national average,,(518) 427-3402,330180,Above the national average,,Below the national average,,NY,Below the national average,,12180
1,621 TENTH STREET,NIAGARA FALLS,NIAGARA,Same as the national average,,Same as the national average,,True,NIAGARA FALLS MEMORIAL MEDICAL CENTER,1,,Voluntary non-profit - Other,Acute Care Hospitals,"621 TENTH STREET NIAGARA FALLS, NY 14302 (43.093433, -79.050429)",True,Same as the national average,,Below the national average,,(716) 278-4000,330065,Below the national average,,Same as the national average,,NY,Same as the national average,,14302
1,1500 NORTH JAMES STREET,ROME,ONEIDA,Same as the national average,,Same as the national average,,True,"ROME MEMORIAL HOSPITAL, INC",3,,Voluntary non-profit - Private,Acute Care Hospitals,"1500 NORTH JAMES STREET ROME, NY 13440 (43.228954, -75.444248)",,Same as the national average,,Below the national average,,(315) 338-7000,330215,Same as the national average,,Not Available,5,NY,Same as the national average,,13440
1,1276 FULTON AVENUE,BRONX,BRONX,Same as the national average,,Same as the national average,,True,BRONX-LEBANON HOSPITAL CENTER,2,,Proprietary,Acute Care Hospitals,"1276 FULTON AVENUE BRONX, NY 10456 (40.83175, -73.903756)",True,Same as the national average,,Below the national average,,(212) 588-7000,330009,Below the national average,,Above the national average,,NY,Below the national average,,10456
1,178 GRANDVIEW DRIVE,COBLESKILL,SCHOHARIE,Not Available,5,Not Available,5,True,COBLESKILL REGIONAL HOSPITAL,Not Available,5,Voluntary non-profit - Private,Critical Access Hospitals,"178 GRANDVIEW DRIVE COBLESKILL, NY 12043 (42.686224, -74.482987)",,Not Available,5,Not Available,5,(518) 254-3456,331320,Not Available,5,Not Available,5,NY,Not Available,5,12043
1,51 NORTH ROUTE 9W,WEST HAVERSTRAW,ROCKLAND,Not Available,5,Not Available,16,False,HELEN HAYES HOSPITAL,Not Available,16,Government - Local,Acute Care Hospitals,"51 NORTH ROUTE 9W WEST HAVERSTRAW, NY 10993 (41.212779, -73.985768)",,Not Available,16,Not Available,16,(845) 786-4000,330405,Not Available,16,Not Available,5,NY,Not Available,16,10993
1,435 EAST HENRIETTA ROAD,ROCHESTER,MONROE,Not Available,5,Not Available,16,False,MONROE COMMUNITY HOSPITAL,Not Available,16,Voluntary non-profit - Other,Acute Care Hospitals,"435 EAST HENRIETTA ROAD ROCHESTER, NY 14620 (43.111856, -77.616078)",,Not Available,16,Not Available,16,(585) 760-6500,330403,Not Available,16,Not Available,5,NY,Not Available,16,14620
1,105 MARY'S AVENUE,KINGSTON,ULSTER,Not Available,5,Not Available,16,True,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,Not Available,16,Voluntary non-profit - Church,Acute Care Hospitals,"105 MARY'S AVENUE KINGSTON, NY 12401 (41.922453, -73.999335)",True,Not Available,16,Same as the national average,,(845) 338-2500,330224,Not Available,5,Above the national average,,NY,Not Available,16,12401
1,42084 STATE HIGHWAY 28,MARGARETVILLE,DELAWARE,Not Available,5,Not Available,5,True,MARGARETVILLE MEMORIAL HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"42084 STATE HIGHWAY 28 MARGARETVILLE, NY 12455 (42.147654, -74.642629)",True,Not Available,5,Not Available,16,(845) 586-2631,331304,Same as the national average,,Not Available,16,NY,Not Available,5,12455
