Number of Records,Agency Name,American Indian Or Alaska Native Beneficiaries,Asian Pacific Islander Beneficiaries,Average Age,Average Hcc Score,Average Number Of Home Health Aide Visits Per Episode Non Lupa,Average Number Of Medical Social Visits Per Episode Non Lupa,Average Number Of Ot Visits Per Episode Non Lupa,Average Number Of Pt Visits Per Episode Non Lupa,Average Number Of Skilled Nursing Visits Per Episode Non Lupa,Average Number Of St Visits Per Episode Non Lupa,Average Number Of Total Visits Per Episode Non Lupa,Black Beneficiaries,City,Distinct Beneficiaries Non Lupa,Dua Beneficiaries,Female Beneficiaries,Hispanic Beneficiaries,Male Beneficiaries,Nondual Beneficiaries,Other Unknown Beneficiaries,Outlier Payments As A Percent Of Medicare Payment Amount Non Lupa,Percent Of Beneficiaries With Alzheimers,Percent Of Beneficiaries With Asthma,Percent Of Beneficiaries With Atrial Fibrillation,Percent Of Beneficiaries With Cancer,Percent Of Beneficiaries With Chf,Percent Of Beneficiaries With Chronic Kidney Disease,Percent Of Beneficiaries With Copd,Percent Of Beneficiaries With Depression,Percent Of Beneficiaries With Diabetes,Percent Of Beneficiaries With Hyperlipidemia,Percent Of Beneficiaries With Hypertension,Percent Of Beneficiaries With Ihd,Percent Of Beneficiaries With Osteoporosis,Percent Of Beneficiaries With Ra Oa,Percent Of Beneficiaries With Schizophrenia,Percent Of Beneficiaries With Stroke,Provider Id,State,Street Address,Total Episodes Non Lupa,Total Hha Charge Amount Non Lupa,Total Hha Medicare Payment Amount For Lupas,Total Hha Medicare Payment Amount Non Lupa,Total Hha Medicare Standard Payment Amount Non Lupa,Total Lupa Episodes,White Beneficiaries,Zip Code
1,"24SEVEN HEALTH CARE SERVICES, INC",,61,77,1.96,2.6,0.1,0.1,1.4,8.8,0,13,20,CHICAGO,155,133,105,51,50,22,,0,27,22,5,6,44,32,21,35,62,70,,70,17,,5,9,148118,IL,5765 N LINCOLN AVE SUITE 27,468,1162707,4544,1092784,1074142,12,21,60659
1,ALLIANCE HOME HEALTH CARE INC,,0,77,2.06,4.3,0,0.2,1.5,10.3,0.1,16.4,187,HAMMOND,278,99,204,,74,179,0,0.3,35,28,14,11,51,39,32,28,58,67,,64,12,,12,15,157615,IN,5930 HOHMAN AVE STE 105,602,1481056,4200,1441637,1527609,12,83,46320
1,VINTON COUNTY HEALTH DEPARTMENT HOME HEALTH AGENCY,0,0,77,2.9,3.8,0,0,4.4,10.8,0,19,0,MCARTHUR,51,35,37,0,14,16,0,0.3,18,22,29,18,67,53,61,51,55,71,,71,12,65,10,6,367103,OH,31927 STATE ROUTE 93 NORTH,99,177694,3505,234168,263066,12,51,45651
1,OSAGE HOME HEALTH,31,0,77,1.88,9.3,0,0,5.4,11.2,0,26,0,PAWHUSKA,56,17,40,,16,39,,3.7,30,9,18,18,48,46,30,32,59,41,,52,7,63,16,4,377509,OK,721 KIHEKAH,193,649331,3471,507782,579761,12,23,74056
1,HCC HOME CARE INC,0,,77,2.1,4,0,0.6,5.8,8.3,0,18.8,21,HOUSTON,90,24,71,12,19,66,,0,49,26,14,9,42,40,23,32,43,52,,51,16,,8,10,457967,TX,4635 SOUTHWEST FREEWAY SUITE 515,266,674840,3775,722678,752037,12,53,77027
1,KAISER FOUNDATION HOSPITAL HOME HEALTH - MARTINEZ,0,0,77,1.99,1.4,0.3,0.9,2.8,8.4,0.3,14.1,,MARTINEZ,47,,29,,18,,,0.1,11,23,4,13,23,49,21,17,32,45,62,34,9,43,2,13,557012,CA,"200 MUIR ROAD, HACIENDA BUILDING",57,169783,8001,208654,140643,12,32,94553
1,ANGLETON VISITING NURSES,0,,77,2.27,8.1,0,0.7,7.7,8.9,0,25.3,,ANGLETON,116,31,78,18,38,85,0,0.9,28,4,19,10,41,38,30,19,53,62,,54,11,64,5,7,679109,TX,1212 N VELASCO SUITE 200,266,705211,3261,823692,833650,12,88,77515
1,OMNI HOME HEALTH CARE,0,,77,2.31,9,0.1,0.4,7.6,11,0.1,28.1,53,IRVING,120,55,84,33,36,65,,5.2,36,33,11,10,46,47,27,68,49,68,,58,18,,8,7,679197,TX,819 NORTH O CONNOR ROAD SUITE 101,518,2220725,4668,2002725,1952926,12,32,75061
1,ASCENSIA HOME HEALTH,0,,77,3,1.1,0.1,1.2,3.6,12.1,0.1,18.2,0,SAN ANTONIO,96,33,66,49,30,63,,1.1,41,19,11,9,44,49,17,42,52,58,,53,11,63,9,9,679559,TX,6326 SOVEREIGN DR STE 250,163,472508,3512,417181,456850,12,44,78229
1,MY HOME CARE LP,0,,77,2.45,0.4,0,0.1,1.4,8.8,0,10.6,,DEL RIO,129,70,86,80,43,59,0,0.4,35,11,16,10,48,51,26,38,,74,,68,16,,5,12,679754,TX,2107 VETERANS BLVD STE 4,550,1038770,3386,1084776,1222221,12,43,78840
1,HYGIA HEALTHCARE,0,60,77,2.18,4.7,0,0.6,1.3,11.9,0.1,18.7,11,ARLINGTON,104,80,71,,33,24,,6.6,42,19,13,9,33,41,19,30,62,,,41,31,60,8,12,747232,TX,4200 SW GREEN OAKS BLVD,444,989158,3539,968733,957943,12,25,76017
1,BEYONDFAITH HOMECARE & REHAB OF ABILENE LLC,0,0,77,2.01,2.5,0.2,1.1,4.4,11.4,0.3,19.9,,ABILENE,145,37,98,13,47,108,,4.3,33,9,16,10,42,43,37,49,35,58,,57,21,68,9,8,747518,TX,238 SAYLES BLVD,396,1192266,3719,1022744,1151048,12,128,79602
1,RELIANCE HOME HEALTH SERVICES,0,,77,3.2,0,0.2,1.2,3.2,8.8,0,13.4,16,PARAMOUNT,72,44,49,22,23,28,,0,29,26,22,11,49,57,32,31,56,57,,58,6,57,8,18,57447,CA,16660 PARAMOUNT BLVD STE 304,157,301540,5429,532241,457902,13,27,90723
1,"TWINS QUALITY HOME HEALTH CARE, INC",,15,77,2.25,0.3,0.1,0.2,2.8,16.3,0,19.8,11,GLENDALE,141,98,85,44,56,43,,9.2,40,20,10,12,43,43,36,43,55,56,,62,22,65,28,8,58319,CA,1741 GARDENA AVENUE SUITE A,348,977397,4749,1200733,932323,13,68,91204
1,"DIRECT NURSING SERVICES, INC",,25,77,2.66,2.2,0.1,0.3,3.2,16.1,0,22,,GLENDALE,372,328,244,83,128,44,24,8.8,41,31,15,7,60,41,29,48,72,,,,33,,8,9,59092,CA,"1111 N BRAND BLVD, STE 310",629,2099816,5617,2422032,1884874,13,231,91202
1,A & A HOMECARE INC,0,0,77,1.87,6.2,0,0,6.4,7.7,0.1,20.4,13,WEWAHITCHKA,162,50,99,,63,112,,0.1,35,12,21,15,53,45,44,40,45,63,,69,16,59,9,17,108001,FL,211 N HWY 71,308,506341,4482,762648,889165,13,146,32465
1,TAYLOR HOME HEALTH CARE,0,0,77,1.94,7,0,0.6,13.2,15.4,0.1,32,16,HAWKINSVILLE,101,32,75,0,26,69,0,0.7,41,13,19,13,39,43,30,34,47,61,,53,11,66,7,16,117091,GA,188 PERRY HIGHWAY SUITE 1,178,1127073,3892,580143,705645,13,85,31036
1,IROQUOIS HOME HEALTH,0,,77,1.85,3.3,0,1.9,4.3,6.2,0.3,15.9,,WATSEKA,194,41,119,,75,153,,0.1,22,10,25,12,44,45,36,29,36,63,,55,19,61,7,15,147586,IL,200 NORTH LAIRD LANE,235,527761,4016,583553,650744,13,190,60970
1,"HOMEHEALTH OF AMERICA, INC",0,18,77,2.68,0.4,0,0.4,2.8,8,0,11.7,44,NILES,105,71,71,24,34,34,0,0,41,32,18,10,60,50,38,31,67,71,,,21,,9,10,148107,IL,"5940 TOUHY AVE, STE 100",219,355618,4796,572605,562930,13,19,60714
1,GENTIVA HEALTH SERVICES,0,,77,2.28,1,0.2,2.1,7.2,4.8,0.6,15.8,11,WICHITA,192,40,136,,56,152,,0,36,14,29,11,46,54,36,47,38,64,,63,13,52,10,9,178056,KS,2622 WEST CENTRAL AVENUE SUITE 401-A,272,720144,3733,816644,922569,13,168,67203
1,COOPER COUNTY MEMORIAL HOSPITAL HOME HEALTH AGENCY,0,0,77,2.04,3.3,0,1.1,4,4.7,0,13.1,,BOONVILLE,41,,25,0,16,,,0,10,10,24,20,37,44,15,29,44,59,,41,20,71,5,12,267240,MO, P O BOX 88,49,87553,4125,102649,121936,13,40,65233
1,ST LUKES HCP,0,0,77,1.42,3.5,1.1,0.1,4.9,11.8,0.2,21.6,0,LARES,77,,43,76,34,,,1.1,25,5,3,3,23,27,16,5,56,39,,31,5,18,1,9,407306,PR,CARR 1111 AVE LOS PATRIOTAS APARTADO 1477,116,322909,2164,189676,353561,13,,00669
1,FIRST CLASS HEALTHCARE,0,0,77,2.22,0,0,0.1,0.6,8.2,0,8.9,,AMARILLO,52,21,28,,24,31,0,0,35,21,21,15,46,38,44,,48,73,,,13,48,13,10,457839,TX,4112 SW 50TH AVE,227,363957,3552,502963,588123,13,39,79109
1,HOME CARE IMAGE SERVICES INC,0,0,77,2.08,12.8,0.2,1.8,0.7,7.4,0.1,23.1,61,MABANK,108,71,76,,32,37,,2.1,41,17,6,7,53,44,35,31,45,54,,62,8,,10,6,459171,TX,103 WEST MT VERNON,430,1189828,3653,1031778,1188324,13,46,75147
1,VERNON MEMORIAL HOSPITAL HHC,0,,77,1.85,2.6,0.1,3.4,4.1,5.9,0.3,16.4,0,VIROQUA,57,23,35,0,22,34,,0,21,5,23,9,40,42,28,28,47,47,,46,12,40,12,9,527227,WI,705 ARENA DRIVE,62,137863,5110,174411,187831,13,55,54665
1,"HEALTHCARE PROVIDERS OF AMERICA, INC",0,,77,2.84,2.6,0.2,1.5,5.4,8.4,0.1,18.1,24,HOUSTON,67,22,48,,19,45,0,0.2,42,19,22,7,67,55,48,36,48,73,,,10,58,12,24,677921,TX,10801 HAMMERLY BLVD SUITE 120,183,563493,3661,529520,540121,13,32,77043
1,HORIZON CARE HOME HEALTH SERVICES INC,0,,77,2.64,1,0,1.3,4.5,6.7,0,13.5,14,HOUSTON,66,27,52,,14,39,,0,50,21,14,8,52,42,47,53,59,68,,58,39,,12,21,679054,TX,10190 KATY FRWY SUITE 455,273,603099,3165,743130,759306,13,39,77043
1,SOUTH WEST TEXAS HOME HEALTH INC,0,,77,2.09,2.3,0.1,0.3,3,9.4,0.2,15.3,30,BRIDGE CITY,136,35,86,,50,101,,0.3,33,10,17,10,46,27,39,35,41,69,,72,11,63,6,10,679081,TX,150 LAMESA DR,464,1065167,3830,975110,1128730,13,103,77611
1,PRIME CARE MEDICAL SERVICES,0,,77,2.38,1.5,0,1,4.2,8.2,0,14.9,18,HEMPSTEAD,57,20,43,,14,37,0,0.5,39,19,19,9,47,44,32,39,46,60,,54,14,72,9,26,679123,TX,900 12TH STREET,111,181207,4014,305876,311134,13,35,77445
1,NEW DIMENSIONS HOME HEALTHCARE PLUS INC,0,0,77,3.2,4.1,0,0.7,2.5,8.6,0.2,16.1,,PASADENA,82,33,62,35,20,49,,0,33,21,23,13,60,54,35,46,59,67,,70,22,74,7,16,679168,TX,4949 FAIRMONT PARKWAY SUITE 101,169,358752,5167,421392,430421,13,43,77505
1,SEV HOME CARE INC,0,,77,2.66,2.1,0.1,1.1,7.4,8.6,0.3,19.6,11,BAYTOWN,147,20,88,16,59,127,,0.6,41,12,24,16,54,56,42,43,48,68,,69,18,55,10,24,679272,TX,4000 GARTH RD STE 130,258,726663,5275,852062,865140,13,119,77521
1,HOME HEALTH CARE OF HUNTSVILLE,0,0,77,2.48,2.7,0.2,1.4,8.2,8.6,0.3,21.4,18,HUNTSVILLE,85,28,62,,23,57,,0,28,5,15,9,39,36,32,46,52,68,,58,11,64,7,16,679340,TX,2505 LAKE ROAD SUITE 6,122,344469,4498,367336,422759,13,66,77340
1,STAT NURSING HOME HEALTH CARE INC,0,0,77,2.69,0,0,0.6,0.7,12.7,0,14,0,BROWNSVILLE,105,93,66,99,39,12,,5,30,13,14,11,50,51,21,30,72,,,,28,,10,10,743155,TX,1301 EAST LOS EBANOS BLVD BLDG #B,349,732793,3544,726858,815751,13,,78520
1,HOME SWEET HOME UNLIMITED INC,0,0,77,1.86,1.6,0,0.7,11.6,8.1,0.2,22.3,,EL PASO,154,67,106,104,48,87,,0,21,12,8,11,28,56,19,36,65,,,56,32,,6,8,743172,TX,2204 JOE BATTLE BLVD SUITE C106,291,1172433,4018,990838,1147846,13,43,79938
1,HOME CARE OPTIONS  HOUSTON INC,0,,77,2.43,0,0,0.6,4.8,6.3,0,11.7,,HOUSTON,26,,,,,,0,0,35,8,15,15,54,46,35,27,54,62,,62,4,62,19,15,747036,TX,2500 EAST TC JESTER SUITE 295,48,108482,4714,135950,142977,13,18,77008
1,HEAVENLY NURSES HOME HEALTH LLC,0,0,77,2.45,0,0.1,0.1,6.2,12.5,0,18.9,0,LAREDO,197,153,125,189,72,44,,0.9,32,9,9,6,34,35,19,33,75,,,,18,53,4,5,747424,TX,2021 LIMA LOOP,916,2641627,3017,2271780,2813167,13,,78045
1,DOCTORS HOME CARE,0,,77,1.93,4,0.1,1.7,4.5,9.6,0.2,20,47,CAMDEN,203,41,135,,68,162,,0.1,31,8,20,16,41,35,28,33,39,49,,59,14,61,6,19,47025,AR,726 CALIFORNIA AVENUE SW,285,1318916,4231,743753,919520,14,152,71701
1,"BAYHEALTH, INC",0,19,77,2.35,0.3,0.1,1.5,3,8.7,0.1,13.7,,CAMPBELL,85,27,55,14,30,58,,0,35,14,22,14,39,59,22,24,45,56,,62,20,33,5,11,59507,CA,"30 UNION AVENUE, SUITE 126",110,243734,7801,467394,308821,14,50,95008
1,PALMS HOME CARE,0,,77,1.99,1,0.1,2.2,6.8,10.6,0.1,20.7,,TAMPA,99,24,63,12,36,75,,3.2,37,24,30,16,44,52,40,47,47,71,,58,17,52,9,22,107120,FL,4144 NORTH ARMENIA AVE STE 230,125,348140,4568,375019,395865,14,73,33607
1,"VANGUARD HEALTH & WELLNESS, LLC",0,,77,2.29,5.3,0,0.6,5.9,8.7,0.1,20.7,21,DES PLAINES,131,74,91,25,40,57,,0.1,45,18,26,9,56,37,24,,62,68,,71,17,,8,10,148311,IL,"1585 ELLINWOOD AVENUE, SUITE 100",435,1764502,4841,1352966,1328630,14,78,60016
1,"PROHEALTH HOMECARE AGENCY, INC",0,,77,2.05,0,0,0.1,1.6,8.3,0,10,11,OAKBROOK TER,86,63,55,66,31,23,0,0,33,26,5,8,63,28,17,20,,73,,63,15,,6,13,148353,IL,1S132 SUMMIT AVENUE SUITE 300,303,571831,5007,736954,724560,14,,60181
1,PROFESSIONAL CARE HOME HEALTH SERVICES,0,,77,2.61,5.2,0,0.2,4.3,8.5,0,18.3,83,HIGHLAND,242,55,157,19,85,187,,0.1,31,9,21,18,66,52,41,29,64,56,,74,12,,12,15,157558,IN,9008 INDIANAPOLIS BLVD,567,1485428,4831,1500489,1592496,14,137,46322
1,NORTHWEST HOME HEALTH CARE INC,0,,77,2.55,2.8,0,0.1,3.5,8.5,0,14.9,36,HIGHLAND,159,57,104,38,55,102,,0,48,25,22,11,56,54,36,33,61,66,,69,14,,16,13,157611,IN,"9011 INDIANAPOLIS BOULEVARD, SUITE B",469,949189,5260,1140306,1211744,14,84,46322
1,PROFESSIONAL HHS OF BATON ROUGE,0,,77,2.08,0.1,0,0.3,2.7,8.6,0.4,12.2,19,BATON ROUGE,85,27,58,,27,58,0,0,40,8,26,9,48,34,29,47,39,65,,52,13,56,8,11,197019,LA,"3233 S  SHERWOOD FOREST BLVD, SUITE 103",175,490121,4330,381957,454936,14,62,70816
1,"MANGHAM HOME CARE, INC.",0,0,77,2.1,5.6,0,0.1,1.4,9.6,0.1,16.8,35,MANGHAM,149,92,102,0,47,57,0,1.4,23,12,20,11,72,43,42,21,52,64,,,13,53,4,13,197295,LA,714 BROADWAY,585,1354167,3036,1142359,1369428,14,114,71259
1,HEALTHSOUTH CHESAPEAKE REHAB HOME HEALTH,0,,77,1.75,0,0,4.2,11.4,7.5,1.3,24.4,53,SALISBURY,369,69,211,,158,300,,0.4,22,8,26,12,37,44,29,31,44,74,,51,14,54,8,31,217157,MD,220 TILGHMAN ROAD,444,2390906,5157,1664128,1828920,14,303,21804
1,GRACE HOME HEALTH CARE,0,,77,2.17,0.6,0.2,1.3,5,10,0.2,17.2,12,YPSILANTI,153,31,93,,60,122,0,0.4,22,13,20,18,41,52,25,33,41,61,,47,10,56,3,12,237765,MI,1993 WHITTAKER ROAD,209,517409,5805,551634,576916,14,139,48197
1,"NEW VISION NURSING AND HOME CARE, LLC",0,,77,1.77,5.7,0,2,6,6.7,0.2,20.5,,WAPAKONETA,125,46,86,,39,79,0,1.1,30,12,13,10,44,43,43,40,41,64,,59,16,61,19,10,368219,OH,310 PERRY STREET,321,800933,3992,862387,954474,14,122,45895
1,SWEETWATER HOSP HOME HEALTH,,,77,2.17,1.3,0,1.2,6.7,7.3,0.3,16.9,,SWEETWATER,237,96,153,,84,141,,0.2,39,9,22,11,56,41,44,47,45,58,,53,13,53,7,14,447476,TN,304 WRIGHT STREET,365,973361,4008,982351,1203375,14,224,37874
1,HELPING HANDS HOMECARE SERVICES OF NORTHERN VA,,,77,2.38,2.6,0.1,1.7,6.2,10,0.2,20.8,21,WOODBRIDGE,69,20,37,,32,49,0,0.5,45,14,32,13,45,46,22,26,65,61,,61,10,49,7,14,497686,VA,"14142 MINNIEVILLE ROAD, SUITE 207",121,392183,5540,404220,401344,14,43,22193
1,EASTWEST HOME HEALTH,0,49,77,2.38,0.2,0.1,0.2,2.9,10.7,0.1,14.1,,CERRITOS,129,78,75,35,54,51,,1.1,29,12,15,11,37,51,26,17,56,66,,47,26,48,4,12,58033,CA,16429 BERWYN ROAD,178,383869,5222,526534,442158,15,41,90703
1,ABC HOME HEALTH CARE INC,0,0,77,2.42,16.6,0,0.7,6.6,9.2,0,33,0,PUEBLO,27,,,14,,,0,3.4,26,7,22,19,41,37,59,48,30,37,,59,22,59,4,4,67456,CO,2320 NORTH GRAND,43,175945,4556,122680,136525,15,13,81003
1,"STAR HOME HEALTH SERVICES, INC",0,,77,2.45,2.8,0,0,11.1,4.3,0,18.3,103,CHICAGO,124,108,90,,34,16,,0.4,52,20,17,9,52,56,26,33,68,73,,66,9,,17,25,148116,IL,8130 1/2 S KEDZIE AVE,262,992963,5439,920611,901304,15,13,60652
1,"IRIS HOME HEALTH SERVICES, LLC",0,0,77,1.63,1.2,0,0.9,3.1,9.7,0,14.9,,CANTON,84,45,53,0,31,39,,0.1,23,10,19,13,43,35,35,42,51,65,,42,12,63,6,10,148337,IL,"162 E CHESTNUT ST, UNIT D",149,325716,5399,334921,376746,15,76,61520
1,HOPE HOME HEALTH CARE INC,0,,77,2.95,3.8,0,0.7,5.7,8.4,0.3,18.9,49,MERRILLVILLE,156,41,106,19,50,115,,0,35,14,22,20,62,61,39,28,54,64,,63,13,65,9,19,157633,IN,3800 W 80TH LN,396,877352,4739,1104991,1174339,15,84,46410
1,CLAIBORNE HOME HEALTH,0,,77,2.02,1.2,0,1.3,2,10.2,0,14.7,75,HOMER,143,63,93,0,50,80,,0.3,31,10,21,12,50,45,41,27,40,51,,50,9,67,6,9,197259,LA,620 EAST COLLEGE STREET,329,1094766,4722,660664,797400,15,66,71040
1,EASTERN MICHIGAN HOME HEALTHCARE,,0,77,2.59,1.2,0.3,0.1,10.8,7.4,0.1,19.8,70,SOUTHFIELD,143,59,88,,55,84,,0,36,31,18,10,52,41,55,40,40,71,,,4,,10,17,239079,MI,"17700 NORTHLAND PARK ST, SUITE 18",214,544525,4849,721460,772374,15,70,48075
1,MINNESOTA HOME HEALTH,,0,77,2.26,1.4,0,1.6,4.5,8.7,0.5,16,,BLOOMINGTON,61,,36,,25,,,1.8,21,10,15,16,23,43,21,34,36,52,,36,25,43,11,0,248090,MN,5001 AMERICAN BOULEVARD SUITE 640,65,270121,7448,211864,193034,15,55,55437
1,"SUNRISE HOME CARE, LLC",0,0,77,2.25,0.5,0,1.8,10.1,7.1,0.6,20.1,,POPLAR BLUFF,129,51,81,,48,78,,0.6,33,9,19,14,38,39,47,41,46,58,,55,13,55,14,17,267634,MO,"4061 HWY PP, SUITE 3",187,637479,4651,600286,708677,15,122,63901
1,"LIBERTY HOMECARE AND HOSPICE, LLC",0,0,77,2.28,1.1,0.3,0,5.8,3.5,0,10.7,12,AIKEN,71,14,42,0,29,57,0,0,35,4,18,20,44,32,32,28,38,51,,45,11,62,8,8,427001,SC,"1307 EAST PINE LOG ROAD, SUITE B",84,138320,5012,203205,221061,15,59,29803
1,KELLYS HEALTH CARE INC,0,,77,2.43,0.8,0.1,0.4,1.2,14.6,0.1,17.1,0,MISSION,147,120,105,138,42,27,0,8.7,43,7,12,10,35,55,24,41,60,,,72,29,,12,14,678225,TX,2007 N CONWAY,495,1561868,3442,1151566,1240051,15,,78572
1,ACE HOME HEALTHCARE LTD,,,77,2.4,2.4,0,1.3,10.1,5.6,0.3,19.8,,ARLINGTON,154,34,106,15,48,120,,0,34,12,16,10,43,47,21,36,40,58,,44,16,54,8,12,679057,TX,1398 W MAYFIELD SUITE 220,277,1192919,4772,995712,1044898,15,120,76015
1,SUNRISE HEALTH CARE SERVICES LTD,0,,77,2.14,0,0,0,2.2,10.9,0,13.1,,MCALLEN,191,152,138,167,53,39,,0.7,34,13,9,9,35,40,18,43,69,74,,64,35,,5,8,679436,TX,2516 BUDDY OWENS AVENUE,742,1471573,3761,1618934,1889690,15,21,78504
1,CHRISTIAN QUALITY HOME HEALTH CARE INC,0,0,77,2.52,1.1,0,0.1,0.6,14.3,0,16.2,0,HARLINGEN,164,140,107,143,57,24,0,8.9,34,9,9,7,34,50,27,46,65,,,65,30,,7,15,679438,TX,113 E PORTE CT,637,1874913,5042,1361248,1463321,15,21,78550
1,24-7 QUALITY INFUSION AND HOME HEALTH INC,0,,77,2.67,2.3,0,0.3,3.8,16,0.1,22.5,23,WESTLAKE VILLAGE,188,113,115,17,73,75,,9.1,54,12,12,14,53,47,35,66,54,61,,64,28,60,26,13,59211,CA,2659 TOWNSGATE RD STE 132,426,1296439,5697,1674031,1299620,16,137,91361
1,ZENITH HOME HEALTH,0,11,77,2.96,0.5,0.1,0.6,4.6,10.6,0,16.3,,SHERMAN OAKS,141,70,89,37,52,71,,5.1,25,13,18,18,34,48,28,40,52,61,,60,23,66,7,11,59230,CA,14144 VENTURA BLVD STE 304,175,429109,7491,623305,506731,16,80,91423
1,BAYADA HOME HEALTH CARE,0,,77,1.76,2.3,0.3,2.2,6.4,7.9,0.8,19.9,,FORT COLLINS,154,44,84,,70,110,,0.9,39,11,27,11,38,35,18,34,28,46,,43,16,54,17,10,67506,CO,3500 JOHN F KENNEDY  PARKWAY STE 325,217,748502,6069,718233,741529,16,141,80525
1,CALHOUN COUNTY HEALTH DEPARTME,0,0,77,1.58,1.5,0,0.4,4.3,6.5,0.3,13,0,HARDIN,53,,22,0,31,,0,0,19,17,28,15,42,38,34,32,42,66,,62,8,66,4,8,147052,IL,210 FRENCH STREET P O BOX 158,72,129243,5718,170708,183162,16,53,62047
1,PIKE COUNTY HEALTH DEPARTMENT,,0,77,1.72,1.5,0,0.7,4.4,6.8,0,13.4,0,PITTSFIELD,126,40,82,0,44,86,,0,18,12,22,10,39,46,29,31,47,,,57,12,56,7,6,147065,IL,606 W ADAMS STREET,160,367715,6776,364460,407941,16,124,62363
1,"COMPMED HOME HEALTH, INC",,17,77,2.62,1.4,0,0.2,4.3,8.9,0.1,14.8,39,SKOKIE,179,128,118,25,61,51,,0,39,17,20,16,50,46,35,35,72,69,,63,16,,13,16,147780,IL,"4711 GOLF ROAD, SUITE 806",402,1250235,5592,1079353,1060424,16,95,60076
1,"HEALTH CARE OPTIONS OF LAFAYETTE,INC",0,0,77,2.15,6.5,0,0.1,0.5,5.1,0,12.2,34,LAFAYETTE,56,35,45,,11,21,,0,43,32,23,11,63,30,30,52,61,71,,59,9,68,13,20,197333,LA,3804 JOHNSTON ST.,204,335379,5294,408681,485153,16,20,70503
1,PRECISE HOME CARE SERVICES,0,,77,3.28,3.5,0.3,1.5,6.9,8.4,0.1,20.7,83,DETROIT,91,55,63,0,28,36,,0.5,55,19,13,16,57,60,44,44,56,65,,70,10,75,18,26,237490,MI,18940 SCHAEFER DR,132,365753,4557,425527,454548,16,,48235
1,PRIME HOME CARE,0,,77,2.52,1.3,0.1,0.4,9.7,3.7,0.1,15.3,42,SOUTHFIELD,187,104,121,,66,83,14,0,32,25,18,7,57,37,42,30,74,,,,7,,8,13,237657,MI,"17515 WEST NINE MILE ROAD, SUITE 425",246,1135594,6247,783369,837351,16,118,48075
1,CARROLL CO MEMORIAL HOSPITAL HOME HEALTH CARE AGEN,0,0,77,1.68,5.4,0,0.9,5.4,5.9,0.5,18.1,,CARROLLTON,85,19,60,0,25,66,,0.2,9,6,31,15,39,41,28,33,44,46,,45,14,54,11,9,267206,MO,1413 NORTH JEFFERSON STREET,128,341985,5994,312905,368948,16,82,64633
1,UNITED HOME CARE,0,0,77,2.41,0.4,0,0.2,0.8,8.8,0.1,10.2,,ALICE,88,66,60,70,28,22,,0.5,40,18,14,5,44,47,33,24,55,74,,,15,,6,13,457873,TX,405 HIGHLAND STREET,371,490201,5316,612502,716261,16,17,78332
1,MARSHALL HOMECARE AND HOSPICE,0,0,77,2.07,3.2,0,0.4,3.1,6.7,0,13.5,42,MARSHALL,131,48,105,,26,83,,0.2,31,10,24,15,45,49,37,47,47,69,,45,10,69,6,10,457878,TX,111 E BURLESON,438,586999,4468,941560,1105600,16,84,75670
1,"ADEPT HOME HEALTH SERVICES, INC",0,,77,2.64,1.9,0,0.4,2.8,13.6,0,18.7,22,ONTARIO,320,89,203,60,117,231,,3.7,28,12,24,21,44,53,38,32,50,66,,58,20,67,4,11,557735,CA,1131 W 6TH STREET #270,569,1380873,5279,1856422,1581577,16,229,91762
1,L V STABLER MEMORIAL HOME HEALTH,0,0,77,2,2.9,0,1.3,5.7,8,0,17.8,71,GREENVILLE,237,91,157,,80,146,,0,33,11,23,9,50,39,34,36,54,52,,55,12,64,7,8,17138,AL,"104 CAMELLIA AVENUE, SUITE B",472,1319108,4613,1163394,1472971,17,165,36037
1,PROFESSIONAL CARE HOME HEALTH SERVICES INC,,28,77,1.95,1.7,0.1,0.1,2.6,11.7,0,16.1,,SIMI VALLEY,292,171,153,123,139,121,,5.4,32,12,16,10,37,42,29,41,50,66,,55,20,63,10,11,58332,CA,1720 E LOS ANGELES AVE STES 213-215,426,1009299,7952,1443145,1133891,17,133,93065
1,"ST LUKE'S HOME HEALTH SERVICES, INC",,23,77,2.26,0.2,0.2,0.1,3.2,12.3,0,16,25,CYPRESS,226,189,159,129,67,37,,7.1,30,13,8,7,45,38,20,26,71,66,,66,28,68,8,11,58385,CA,"5721 LINCOLN AVE, UNIT P",380,839532,7715,1324371,1056832,17,45,90630
1,PRN HOME HEALTH SERVICES,0,15,77,2.56,1.1,0.2,0.3,3.8,11.6,0.1,17,,GRANADA HILLS,149,86,87,31,62,63,,2,39,18,14,9,42,53,30,49,40,52,,47,23,56,27,5,59091,CA,"15600 DEVONSHIRE ST, STE 206",238,590934,6577,772277,658272,17,95,91344
1,OPTIMAL HOME HEALTH,,18,77,2.28,0.7,0.1,0.1,4.3,10,0,15.2,47,TARZANA,324,169,213,85,111,155,,1,36,18,16,10,49,46,38,42,61,70,,64,21,63,13,17,59367,CA,"18455 BURBANK BLVD, STE 407",482,1085265,7691,1535926,1301829,17,169,91356
1,ALPHA HOME HEALTH SOLUTIONS LLC,,,77,1.98,2.2,0.3,4.3,8.1,7,0.1,22.1,29,ORLANDO,219,104,154,69,65,115,,0,48,16,16,12,41,42,27,44,58,73,,58,15,60,13,15,109753,FL,8615 COMMODITY CIR STE 4,386,1314473,5944,1297798,1420280,17,115,32819
